alt_id,hid,pid,inc,sex,age,job,ptype_code,household_id,parcel_id,dparcel_id,distance
78,20133,1,1793,1,4,2,6,20133.0,290.0,244,7.027820426073218
17,97120,1,8114,2,4,2,6,97120.0,3.0,543,6.290855305776511
78,76380,1,18823,1,2,2,6,76380.0,301.0,244,7.027820426073218
87,23306,1,10878,1,4,2,6,23306.0,56.0,218,7.9388249740792585
50,76884,1,15400,1,3,2,6,76884.0,347.0,219,3.9816853830049848
40,23930,1,6345,1,4,2,6,23930.0,352.0,1,4.328956509331141
109,15850,1,12153,1,3,4,6,15850.0,297.0,365,3.9054315893640137
79,14123,1,13641,1,2,4,6,14123.0,19.0,218,3.391442270157094
78,12130,1,15011,1,2,4,6,12130.0,380.0,244,7.027820426073218
39,98249,1,10239,2,4,2,6,98249.0,349.0,202,4.152815057614677
15,11082,1,9883,1,3,4,6,11082.0,190.0,13,5.4903811826923965
86,11929,1,8179,1,1,4,6,11929.0,351.0,218,8.635132099409287
84,14916,1,16380,1,3,4,6,14916.0,3.0,218,5.3631667620559895
52,76852,1,17397,1,3,2,6,76852.0,13.0,219,7.90815264466749
22,23081,1,10262,1,4,2,6,23081.0,198.0,349,3.8149206613355893
102,18592,1,8902,1,3,4,6,18592.0,339.0,346,4.870425073206561
98,24656,1,3825,1,4,2,6,24656.0,17.0,309,6.851851365391198
38,17542,1,18459,1,2,4,6,17542.0,360.0,194,3.8149206613355893
15,18803,1,13107,1,3,4,6,18803.0,376.0,13,5.4903811826923965
72,24978,1,4227,1,4,2,6,24978.0,88.0,426,6.11870200287075
21,18378,1,16475,1,1,4,6,18378.0,331.0,412,7.400353243493386
60,99131,1,7863,2,4,2,6,99131.0,19.0,274,1.0603034250993086
77,13933,1,13701,1,3,4,6,13933.0,524.0,13,3.8149206613355893
102,75364,1,15977,1,2,2,6,75364.0,296.0,346,4.870425073206561
25,16856,1,9140,1,2,4,6,16856.0,331.0,345,4.742471696692911
68,76302,1,17375,1,1,2,6,76302.0,296.0,426,7.291602602570436
14,19610,1,15676,1,1,4,6,19610.0,276.0,13,4.0998928274157125
86,75541,1,12313,1,3,2,6,75541.0,352.0,218,8.635132099409287
38,18795,1,15013,1,1,4,6,18795.0,354.0,194,3.8149206613355893
