,tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
1939,1112437,11124370,27132,27132,othdiscr,non_mandatory,9.0,9.0,9.0,14.0,WALK,,,,75,,0out_0in
1940,1113749,11137490,27164,27164,othdiscr,non_mandatory,19.0,9.0,8.0,23.0,BIKE,,,,69,,0out_0in
1941,1114457,11144570,27181,27181,social,non_mandatory,16.0,9.0,12.0,14.0,WALK_LRF,,,,114,,0out_0in
1942,1115187,11151870,27199,27199,othmaint,non_mandatory,9.0,9.0,11.0,12.0,WALK,,,,100,,0out_0in
1943,1116704,11167040,27236,27236,othmaint,non_mandatory,15.0,9.0,13.0,15.0,WALK_LRF,,,,126,,0out_1in
1944,1118144,11181440,27271,27271,shopping,non_mandatory,5.0,9.0,10.0,15.0,TNC_SINGLE,,,,90,,0out_0in
1945,1123302,11233020,27397,27397,othdiscr,non_mandatory,17.0,9.0,13.0,16.0,WALK_LRF,,,,127,,0out_0in
1946,1124040,11240400,27415,27415,othdiscr,non_mandatory,18.0,9.0,11.0,20.0,WALK,,,,108,,0out_0in
1947,1124084,11240840,27416,27416,othmaint,non_mandatory,16.0,9.0,14.0,14.0,WALK_LRF,,,,135,,0out_0in
1948,1126768,11267680,27482,27482,eatout,non_mandatory,11.0,10.0,14.0,17.0,WALK,,,,138,,0out_0in
1949,1129433,11294330,27547,27547,eatout,non_mandatory,9.0,10.0,18.0,22.0,WALK,,,,173,,0out_0in
1950,1129616,11296160,27551,27551,othdiscr,non_mandatory,7.0,10.0,12.0,16.0,WALK,,,,116,,0out_0in
1951,1130357,11303570,27569,27569,othmaint,non_mandatory,9.0,10.0,8.0,11.0,TAXI,,,,57,,0out_0in
1952,1133656,11336560,27650,27650,eatout,non_mandatory,14.0,10.0,15.0,16.0,WALK_LRF,,,,146,,0out_0in
1953,1134424,11344240,27668,27668,social,non_mandatory,9.0,10.0,8.0,16.0,WALK,,,,62,,0out_0in
1954,1134498,11344980,27670,27670,othmaint,non_mandatory,22.0,10.0,11.0,12.0,TNC_SINGLE,,,,100,,1out_2in
1955,1134495,11344950,27670,27670,othdiscr,non_mandatory,17.0,10.0,13.0,16.0,WALK_LRF,,,,127,,2out_2in
1956,1134476,11344760,27670,27670,eatout,non_mandatory,5.0,10.0,16.0,20.0,WALK,,,,158,,0out_0in
1957,1135938,11359380,27705,27705,shopping,non_mandatory,12.0,10.0,11.0,16.0,TAXI,,,,104,,0out_1in
1958,1135930,11359300,27705,27705,othdiscr,non_mandatory,8.0,10.0,18.0,21.0,WALK,,,,172,,0out_0in
1959,1136791,11367910,27726,27726,othdiscr,non_mandatory,9.0,10.0,8.0,10.0,WALK,,,,56,,0out_0in
1960,1137368,11373680,27740,27740,othmaint,non_mandatory,24.0,10.0,13.0,17.0,WALK_LRF,,,,128,,0out_0in
1961,1140481,11404810,27816,27816,othdiscr,non_mandatory,17.0,10.0,10.0,14.0,WALK_LRF,,,,89,,0out_0in
1962,1140932,11409320,27827,27827,othdiscr,non_mandatory,9.0,10.0,14.0,16.0,WALK,,,,137,,0out_0in
1963,1141760,11417600,27847,27847,shopping,non_mandatory,16.0,10.0,15.0,15.0,DRIVEALONEFREE,,,,145,,0out_0in
1964,1141755,11417550,27847,27847,othmaint,non_mandatory,4.0,10.0,7.0,13.0,WALK,,,,43,,0out_0in
1965,1143026,11430260,27878,27878,othmaint,non_mandatory,9.0,10.0,14.0,16.0,BIKE,,,,137,,0out_1in
1966,1149058,11490580,28025,28025,shopping,non_mandatory,11.0,10.0,13.0,14.0,SHARED2FREE,,,,125,,0out_1in
1967,1149050,11490500,28025,28025,othdiscr,non_mandatory,3.0,10.0,15.0,22.0,WALK_LRF,,,,152,,0out_0in
1968,1149509,11495090,28036,28036,shopping,non_mandatory,16.0,10.0,9.0,10.0,TNC_SHARED,,,,71,,0out_0in
1969,1149510,11495100,28036,28036,shopping,non_mandatory,11.0,10.0,14.0,15.0,WALK,,,,136,,0out_0in
1970,1149709,11497090,28041,28041,othmaint,non_mandatory,25.0,10.0,14.0,19.0,WALK,,,,140,,0out_0in
1971,1149750,11497500,28042,28042,othmaint,non_mandatory,15.0,10.0,10.0,15.0,WALK_LRF,,,,90,,0out_0in
1972,1149747,11497470,28042,28042,othdiscr,non_mandatory,23.0,10.0,18.0,20.0,WALK_LRF,,,,171,,0out_1in
1973,1153609,11536090,28136,28136,shopping,non_mandatory,19.0,10.0,12.0,13.0,WALK,,,,113,,0out_0in
1974,1153604,11536040,28136,28136,othmaint,non_mandatory,5.0,10.0,10.0,12.0,WALK,,,,87,,0out_0in
1975,1153605,11536050,28136,28136,othmaint,non_mandatory,4.0,10.0,14.0,18.0,WALK,,,,139,,0out_0in
1976,1154976,11549760,28170,28170,eatout,non_mandatory,19.0,10.0,14.0,14.0,WALK,,,,135,,0out_0in
1977,1160251,11602510,28298,28298,shopping,non_mandatory,5.0,11.0,9.0,13.0,WALK,,,,74,,0out_0in
1978,1162911,11629110,28363,28363,othmaint,non_mandatory,7.0,11.0,12.0,12.0,WALK,,,,112,,0out_0in
1979,1162889,11628890,28363,28363,eatout,non_mandatory,11.0,11.0,13.0,14.0,WALK,,,,125,,0out_0in
1980,1163608,11636080,28380,28380,othmaint,non_mandatory,1.0,11.0,11.0,15.0,WALK_LRF,,,,103,,0out_0in
1981,1165245,11652450,28420,28420,othdiscr,non_mandatory,11.0,11.0,8.0,17.0,WALK,,,,63,,0out_0in
1982,1167508,11675080,28475,28475,shopping,non_mandatory,15.0,11.0,11.0,15.0,WALK,,,,103,,0out_0in
1983,1168082,11680820,28489,28489,shopping,non_mandatory,5.0,11.0,8.0,17.0,WALK,,,,63,,1out_0in
1984,1168943,11689430,28510,28510,shopping,non_mandatory,16.0,11.0,11.0,19.0,TNC_SINGLE,,,,107,,1out_1in
1985,1168944,11689440,28510,28510,shopping,non_mandatory,12.0,11.0,20.0,20.0,WALK,,,,180,,0out_1in
1986,1170209,11702090,28541,28541,othmaint,non_mandatory,21.0,11.0,8.0,14.0,BIKE,,,,60,,0out_1in
1987,1170187,11701870,28541,28541,eatout,non_mandatory,12.0,11.0,16.0,17.0,WALK,,,,155,,0out_0in
1988,1170788,11707880,28555,28555,shopping,non_mandatory,16.0,11.0,7.0,20.0,WALK,,,,50,,0out_0in
1989,1174615,11746150,28649,28649,eatout,non_mandatory,2.0,13.0,11.0,16.0,WALK,,,,104,,0out_0in
1990,1174683,11746830,28650,28650,shopping,non_mandatory,24.0,13.0,9.0,12.0,WALK,,,,73,,0out_0in
1991,1174675,11746750,28650,28650,othdiscr,non_mandatory,9.0,13.0,12.0,15.0,WALK_LRF,,,,115,,0out_0in
1992,1176487,11764870,28694,28694,shopping,non_mandatory,2.0,14.0,10.0,12.0,WALK,,,,87,,1out_1in
1993,1179046,11790460,28757,28757,escort,non_mandatory,8.0,16.0,13.0,14.0,SHARED2FREE,,,,125,,0out_1in
1994,1179065,11790650,28757,28757,othmaint,non_mandatory,16.0,16.0,6.0,6.0,WALK,,,,19,,0out_0in
1995,1179073,11790730,28757,28757,social,non_mandatory,22.0,16.0,14.0,16.0,WALK,,,,137,,0out_0in
