household_id,age,PNUM,sex,pemploy,pstudent,ptype,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_zone_id,value_of_time,school_zone_id,school_location_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_zone_id,workplace_location_logsum,distance_to_work,workplace_in_cbd,work_zone_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,income,hhsize,HHT,auto_ownership,num_workers,sample_rate,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,hh_work_auto_savings_ratio,auPkRetail,auPkTotal,auOpRetail,auOpTotal,trPkRetail,trPkTotal,trOpRetail,trOpTotal,nmRetail,nmTotal,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,household_density,employment_density,density_index,is_cbd
1511177,64,2,2,3,3,2,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,8,20.71852151097765,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,70920,2,1,0,1,0.02,70.92,3,10.44,20.71852151097765,1,2,2,0,0,0,0,0,0,False,True,True,False,0.3092083,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
1511234,53,1,2,1,3,1,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,True,8,4.2960940332239455,-1,,,0.0,1,13.81269859955603,1.05,True,0.0,7.6400003,17.013203,0.1417767,False,88600,2,1,0,1,0.02,88.6,3,10.44,4.2960940332239455,1,2,2,0,0,0,0,0,0,False,True,True,False,0.1417767,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
1511234,61,2,1,3,2,4,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,3,False,8,4.2960940332239455,13,8.537371920112303,0.91,6.96,-1,,,False,,0.0,0.0,0.0,False,88600,2,1,0,1,0.02,88.6,3,10.44,4.2960940332239455,1,2,2,0,0,0,0,0,0,False,True,True,False,0.1417767,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
2820538,18,1,1,2,3,1,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,8,2.467783203776223,-1,,,0.0,11,15.473764868535849,0.54,True,0.0,3.6,14.124699,0.11770582,False,0,1,0,0,1,0.02,0.0,1,6.01,2.467783203776223,0,1,1,0,0,0,0,1,0,False,False,True,False,0.11770582,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
2820774,35,1,1,1,3,1,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,8,1.8304507502262173,-1,,,0.0,2,15.359656301391546,0.99,True,0.0,7.16,19.194601,0.15995501,False,0,1,0,1,1,0.02,0.0,1,6.01,1.8304507502262173,0,1,1,0,0,0,0,0,0,False,False,True,False,0.15995501,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
2821179,60,1,1,2,3,1,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,8,1.0,-1,,,0.0,22,15.316797175665156,1.43,True,0.0,9.67,22.914701,0.19095585,False,0,1,0,0,1,0.02,0.0,1,6.01,1.0,0,1,1,0,0,0,0,0,0,False,False,True,False,0.19095585,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
2821261,20,1,2,2,3,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,8,5.3417581877081455,-1,,,0.0,9,15.50061395125364,0.53,True,0.0,3.33,14.864599,0.12387166,False,0,1,0,0,1,0.02,0.0,1,6.01,5.3417581877081455,0,1,1,0,0,0,0,1,0,False,False,True,False,0.12387166,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
2821740,22,1,2,2,2,4,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,3,True,8,5.589159817948638,9,12.600470483410833,0.53,3.33,22,15.52162755883858,1.43,True,0.0,9.67,22.914701,0.19095585,False,0,1,0,0,1,0.02,0.0,1,6.01,5.589159817948638,0,1,1,0,0,0,0,1,0,False,False,True,False,0.19095585,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
2822097,39,1,2,2,3,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,8,10.786630771770398,-1,,,0.0,7,15.586470857848571,0.25,True,0.0,2.38,12.82,0.10683333,False,0,1,0,1,1,0.02,0.0,1,6.01,10.786630771770398,0,1,1,0,0,0,0,0,0,False,False,True,False,0.10683333,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
2822211,21,1,1,2,3,1,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,8,8.12753227540645,-1,,,0.0,2,15.576299863271766,0.99,True,0.0,7.16,19.194601,0.15995501,False,0,1,0,0,1,0.02,0.0,1,6.01,8.12753227540645,0,1,1,0,0,0,0,1,0,False,False,True,False,0.15995501,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
